run_id,fold,held_out_user,validation_user,n_train_windows,n_test_windows,trials_used,position_accuracy,macro_f1,room_accuracy,mean_distance_error,median_distance_error,rmse_distance_error,p90_distance_error,majority_position_accuracy,majority_room_accuracy,fit_seconds,predict_seconds,wall_seconds,parameter_count,best_val_accuracy,best_epoch,mean_seconds_per_epoch,samples,stopped_epoch,patience_triggered,model,dataset
dl__cnn__2_4ghz__lovo__ebl-session__s42__9b1404,01,01,06,7336,1570,01,0.1375796178343949,0.1202670879981001,0.510828025477707,4.384580170406625,3.1622776601683795,5.662031325073595,9.486832980505138,0.0210191082802547,0.6490445859872611,14.371467655990273,1.7510309519711882,16.12249860796146,76020.0,0.1380915438324282,19.0,0.422354223425774,1570.0,34.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s42__9b1404,02,02,01,7492,1414,01,0.0693069306930693,0.0627269506055761,0.637906647807638,4.044804666126455,3.0,5.106226611908649,9.170296661546251,0.0198019801980198,0.6301272984441302,9.484213401097804,1.5715340229216963,11.0557474240195,76020.0,0.1566878980891719,5.0,0.4737972685252316,1414.0,20.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s42__9b1404,03,03,02,7319,1587,01,0.0938878386893509,0.0702471672569245,0.5431632010081916,4.64831642317043,4.123105625617661,5.762633036078787,9.631642909021558,0.0195337114051669,0.649653434152489,14.162659524008632,1.801158120855689,15.96381764486432,76020.0,0.0721357850070721,18.0,0.428892928098018,1587.0,33.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s42__9b1404,04,04,03,7346,1560,01,0.1423076923076923,0.1217787649442038,0.6602564102564102,3.842459047998728,3.0,5.307650501507597,10.04987562112089,0.0205128205128205,0.6557692307692308,11.80656050890684,1.612701938021928,13.41926244692877,76020.0,0.1121613106490233,12.0,0.4368763816439443,1560.0,27.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s42__9b1404,05,05,04,7420,1486,01,0.1305518169582772,0.0860081524271869,0.5349932705248991,4.387249824767317,3.605551275463989,5.7076015992841285,10.44030650891055,0.0208613728129205,0.652086137281292,8.373257358092815,1.6602241108193994,10.033481468912214,76020.0,0.125,2.0,0.4922554691678242,1486.0,17.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s42__9b1404,06,06,05,7617,1289,01,0.0993017843289371,0.0931652948079328,0.7858805275407292,3.514427672954177,3.1622776601683795,4.347047186277222,7.0,0.0224980605120248,0.6718386346004654,12.430409905035049,1.357763374922797,13.788173279957846,76020.0,0.1917900403768506,13.0,0.4435794528856474,1289.0,28.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s43__a89b5d,01,01,06,7336,1570,01,0.1369426751592356,0.1119526719643053,0.5063694267515924,4.411045328267445,3.1622776601683795,5.654827147110181,9.848857801796104,0.0210191082802547,0.6490445859872611,25.160173751879483,1.407795166131109,26.567968918010592,76020.0,0.1543832428238944,49.0,0.3927979549662268,1570.0,64.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s43__a89b5d,02,02,01,7492,1414,01,0.0862800565770862,0.0795077172957025,0.6753889674681753,4.184894456502497,3.605551275463989,5.224452895972438,9.055385138137416,0.0198019801980198,0.6301272984441302,10.70288293203339,1.5714381767902523,12.274321108823642,76020.0,0.1732484076433121,9.0,0.445493292111981,1414.0,24.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s43__a89b5d,03,03,02,7319,1587,01,0.0768746061751732,0.0566944330282817,0.6168872085696282,4.392095913324578,4.123105625617661,5.332959186624287,8.54400374531753,0.0195337114051669,0.649653434152489,13.935680713038892,1.322598451981321,15.258279165020213,76020.0,0.0799151343705799,18.0,0.4219674883537333,1587.0,33.0,True,,
dl__cnn__2_4ghz__lovo__ebl-session__s43__a89b5d,04,04,03,7346,1560,01,0.1762820512820513,0.1494864413658163,0.7769230769230769,3.1080189913711034,2.23606797749979,4.33589667773576,7.810249675906654,0.0205128205128205,0.6557692307692308,17.77594204619527,1.33116114907898,19.10710319527425,76020.0,0.0982986767485822,30.0,0.3947553716858642,1560.0,45.0,True,,
