run_id,timestamp,family,model,band,split,seed,normalization,baseline_scope,window_size,overlap_size,require_all_esps,trials_used,n_train,n_test,n_classes,n_estimators,max_features,max_depth,min_samples_split,min_samples_leaf,model_label,conv1_filters,conv2_filters,latent_dim,head_hidden,dropout,cuda_batch_size,cuda_num_workers,cuda_pin_memory,cuda_persistent_workers,cuda_prefetch_factor,cpu_batch_size,cpu_num_workers,cpu_pin_memory,cpu_persistent_workers,max_epoch_seconds,epochs,patience,lr,weight_decay,random_state,test_size,validation_size,n_blocks,anchor_groups,class_weight,n_neighbors,weights,metric,kernel,C,gamma,torch_version,position_accuracy,test_position_accuracy,validation_position_accuracy,macro_f1,room_accuracy,mean_distance_error,median_distance_error,rmse_distance_error,p90_distance_error,samples,majority_position_accuracy,majority_room_accuracy,position_accuracy_mean,position_accuracy_std,position_accuracy_pooled,n_folds,macro_f1_mean,macro_f1_std,room_accuracy_mean,room_accuracy_std,mean_distance_error_mean,mean_distance_error_std,median_distance_error_mean,median_distance_error_std,rmse_distance_error_mean,rmse_distance_error_std,p90_distance_error_mean,p90_distance_error_std,majority_position_accuracy_mean,majority_position_accuracy_std,majority_room_accuracy_mean,majority_room_accuracy_std,candidate_count,selection_fit_count,refit_count,total_fit_count,mean_fit_time,refit_time,fit_seconds,predict_seconds,wall_seconds,used_estimator,parameter_count,best_val_accuracy,best_val_accuracy_mean,best_val_accuracy_std,best_epoch,best_epoch_mean,best_epoch_std,mean_seconds_per_epoch,mean_seconds_per_epoch_mean,mean_seconds_per_epoch_std,stopped_epoch,patience_triggered,peak_cuda_memory_bytes,device,sklearn_version,numpy_version,cv_position_accuracy,cv_fit_count,position_accuracy_min,position_accuracy_max,macro_f1_min,macro_f1_max,room_accuracy_min,room_accuracy_max,mean_distance_error_min,mean_distance_error_max,median_distance_error_min,median_distance_error_max,rmse_distance_error_min,rmse_distance_error_max,p90_distance_error_min,p90_distance_error_max,samples_mean,samples_std,samples_min,samples_max,majority_position_accuracy_min,majority_position_accuracy_max,majority_room_accuracy_min,majority_room_accuracy_max,n_test_windows
ml__rf__2_4ghz__lovo__ebl-session__s42__447058,2026-08-31T23:28:21.374715+00:00,ml,rf,2_4ghz,lovo,42,empty_baseline,session,60,0,FALSE,1,44530,8906,52,800,log2,40,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,,,,,,2.11.0+cu128,0.173720865,,,0.138722753,0.584429983,3.985332101,3.155017766,5.272890034,9.359268029,8906,0.020704509,0.651419887,0.173720865,0.055692219,0.174601392,6,0.138722753,0.056703638,0.584429983,0.074033032,3.985332101,0.261726016,3.155017766,0.674563174,5.272890034,0.302030561,9.359268029,1.133544153,0.020704509,0.001054749,0.651419887,0.013404646,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.1145686,0.263122476,0.083670445,0.237218233,0.514177694,0.68974359,3.677638787,4.344459758,2,4,4.674925272,5.53265365,7.615773106,11.04536102,1484.333333,115.5069983,1289,1587,0.019533711,0.022498061,0.630127298,0.671838635,8906
ml__knn__2_4ghz__lovo__ebl-session__09230c,2026-08-31T23:28:25.218914+00:00,ml,knn,2_4ghz,lovo,,empty_baseline,session,60,0,FALSE,1,44530,8906,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,uniform,manhattan,,,,2.11.0+cu128,0.089778167,,,0.085470832,0.488908202,5.14658575,4.132672406,6.429635464,11.20024379,8906,0.020704509,0.651419887,0.089778167,0.030899774,0.090388502,6,0.085470832,0.032686804,0.488908202,0.076980187,5.14658575,0.309474826,4.132672406,0.324380241,6.429635464,0.252156737,11.20024379,0.25582585,0.020704509,0.001054749,0.651419887,0.013404646,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.061121613,0.130128205,0.053410024,0.133501888,0.422810334,0.637281292,4.619210578,5.472420414,3.605551275,4.472135955,6.018421698,6.64912757,11.04536102,11.70469991,1484.333333,115.5069983,1289,1587,0.019533711,0.022498061,0.630127298,0.671838635,8906
ml__svm__2_4ghz__lovo__ebl-session__s42__a7141d,2026-08-31T23:28:28.620406+00:00,ml,svm,2_4ghz,lovo,42,empty_baseline,session,60,0,FALSE,1,44530,8906,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rbf,10,0.0001,2.11.0+cu128,0.161409821,,,0.144222227,0.638229707,4.05028447,3.194362429,5.352407735,9.456515282,8906,0.020704509,0.651419887,0.161409821,0.0685918,0.163934426,6,0.144222227,0.069069029,0.638229707,0.096999225,4.05028447,0.341280088,3.194362429,0.596035576,5.352407735,0.559187792,9.456515282,1.445400452,0.020704509,0.001054749,0.651419887,0.013404646,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.081458495,0.243589744,0.052605716,0.224246859,0.469426752,0.755047106,3.734943756,4.678218866,2.236067977,4,4.459106494,6.068767281,7,11.04536102,1484.333333,115.5069983,1289,1587,0.019533711,0.022498061,0.630127298,0.671838635,8906
ml__rf__5ghz__lovo__ebl-session__s42__694ab2,2026-08-31T23:28:33.109414+00:00,ml,rf,5ghz,lovo,42,empty_baseline,session,60,0,FALSE,1,48475,9695,52,800,sqrt,40,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11.0+cu128,0.124049634,,,0.097148276,0.66586554,3.705272159,3.522262541,4.4725399,7.331167441,9695,0.019598597,0.655680124,0.124049634,0.058722001,0.124187726,6,0.097148276,0.043128216,0.66586554,0.140967991,3.705272159,0.548771086,3.522262541,0.558927462,4.4725399,0.560860085,7.331167441,1.040646626,0.019598597,0.000341244,0.655680124,0.003723628,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.056946183,0.22132672,0.050668038,0.1677195,0.432465923,0.813455657,2.972615888,4.445254325,3,4.242640687,3.591457749,5.013061788,6.08276253,9,1615.833333,13.58553152,1598,1635,0.019206939,0.020025031,0.650813517,0.662162162,9695
ml__knn__5ghz__lovo__ebl-session__b7a0d3,2026-08-31T23:28:36.954093+00:00,ml,knn,5ghz,lovo,,empty_baseline,session,60,0,FALSE,1,48475,9695,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,distance,manhattan,,,,2.11.0+cu128,0.072826949,,,0.061474713,0.391328424,5.294176558,4.764326277,6.332868722,10.53643126,9695,0.019598597,0.655680124,0.072826949,0.017969123,0.072924188,6,0.061474713,0.017426938,0.391328424,0.118741615,5.294176558,0.742624021,4.764326277,0.872601942,6.332868722,0.825797076,10.53643126,1.334293703,0.019598597,0.000341244,0.655680124,0.003723628,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.052076875,0.101529052,0.047420951,0.093492162,0.21450713,0.510638298,4.117814477,6.201458334,3.605551275,6,4.926048868,7.208092855,8.062257748,11.70469991,1615.833333,13.58553152,1598,1635,0.019206939,0.020025031,0.650813517,0.662162162,9695
ml__svm__5ghz__lovo__ebl-session__s42__468919,2026-08-31T23:28:40.277145+00:00,ml,svm,5ghz,lovo,42,empty_baseline,session,60,0,FALSE,1,48475,9695,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rbf,100,0.0001,2.11.0+cu128,0.119116716,,,0.09689057,0.651565005,3.946055211,3.37533366,5.057817286,8.758748636,9695,0.019598597,0.655680124,0.119116716,0.034700735,0.119339866,6,0.09689057,0.038731853,0.651565005,0.142829749,3.946055211,0.790273452,3.37533366,0.853549777,5.057817286,0.962613326,8.758748636,1.772339356,0.019598597,0.000341244,0.655680124,0.003723628,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.071339174,0.168195719,0.047702526,0.15557502,0.381897086,0.745565749,3.397868735,5.481986071,2.828427125,5.099019514,4.261111515,6.829697015,7,11.40175425,1615.833333,13.58553152,1598,1635,0.019206939,0.020025031,0.650813517,0.662162162,9695
ml__rf__fusion__lovo__ebl-session__s42__1804dc,2026-08-31T23:28:49.074756+00:00,ml,rf,fusion,lovo,42,empty_baseline,session,60,0,FALSE,1,44445,8889,52,800,log2,40,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,,,,,,2.11.0+cu128,0.189582896,,,0.155156602,0.686807472,3.352065698,2.877662682,4.262868356,7.055854338,8889,0.020085424,0.652057635,0.189582896,0.084964048,0.188997638,6,0.155156602,0.071785965,0.686807472,0.166577935,3.352065698,0.784733791,2.877662682,1.209491211,4.262868356,0.774032463,7.055854338,1.311108703,0.020085424,0.001248242,0.652057635,0.013358886,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.106557377,0.31897712,0.092697228,0.259150036,0.435687264,0.861132661,2.362404259,4.213632123,1.414213562,4.123105626,3.054584874,4.928187342,5,8.503264829,1481.5,113.864393,1289,1586,0.01884253,0.022498061,0.63004961,0.671838635,8889
ml__knn__fusion__lovo__ebl-session__c2bed6,2026-08-31T23:28:56.664729+00:00,ml,knn,fusion,lovo,,empty_baseline,session,60,0,FALSE,1,44445,8889,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,distance,manhattan,,,,2.11.0+cu128,0.100104855,,,0.09108905,0.423468006,5.054390655,4.449043516,6.228614917,10.4466976,8889,0.020085424,0.652057635,0.100104855,0.039675302,0.10079874,6,0.09108905,0.043556824,0.423468006,0.077924842,5.054390655,0.484484522,4.449043516,0.49720635,6.228614917,0.517353797,10.4466976,0.859514144,0.020085424,0.001248242,0.652057635,0.013358886,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.066204288,0.174470815,0.054391328,0.174272774,0.328499369,0.531109686,4.467911733,5.812448915,4,5.099019514,5.518283508,6.958248879,9.219544457,11.40175425,1481.5,113.864393,1289,1586,0.01884253,0.022498061,0.63004961,0.671838635,8889
ml__svm__fusion__lovo__ebl-session__s42__a7141d,2026-08-31T23:29:02.916053+00:00,ml,svm,fusion,lovo,42,empty_baseline,session,60,0,FALSE,1,44445,8889,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rbf,10,0.0001,2.11.0+cu128,0.160185938,,,0.136639103,0.698184822,3.653470469,2.873327482,4.771930813,8.314135729,8889,0.020085424,0.652057635,0.160185938,0.07217223,0.163460457,6,0.136639103,0.073290251,0.698184822,0.077640479,3.653470469,0.34409981,2.873327482,0.541097975,4.771930813,0.556773771,8.314135729,1.565303963,0.020085424,0.001248242,0.652057635,0.013358886,,,,,,,0,0,0,cached_predictions,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,0.070871722,0.237550471,0.052484235,0.217678821,0.568035944,0.766832034,3.297119176,4.115782978,2.236067977,3.605551275,4.303551855,5.843230084,7,11.04536102,1481.5,113.864393,1289,1586,0.01884253,0.022498061,0.63004961,0.671838635,8889
ml__rf__2_4ghz__cross_session__ebl-session__s42__447058,2026-09-04T12:46:23.036808+00:00,ml,rf,2_4ghz,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",8906,4682,52,800,log2,40,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,,,,,,2.11.0+cu128,0.116830414,,,0.070738994,0.634771465,3.866161393,3.16227766,4.831438939,8.246211251,4682,0.019436138,0.65399402,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8052866,0.255785282,13.13170866,RandomForestClassifier,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ml__knn__2_4ghz__cross_session__ebl-session__09230c,2026-09-04T12:46:28.342421+00:00,ml,knn,2_4ghz,cross_session,,empty_baseline,session,60,0,FALSE,"01,02",8906,4682,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,uniform,manhattan,,,,2.11.0+cu128,0.085219991,,,0.081215329,0.581802648,4.491044735,4,5.601000704,10,4682,0.019436138,0.65399402,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309100413,4.311978139,4.706110814,KNeighborsClassifier,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn_room__fusion__cross_session__ebl-session__s42__dc4ee3,2026-09-04T12:47:52.017505+00:00,dl,cnn_room,fusion,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",8889,4679,52,,,,,,CNN_room,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.121820902,,,0.110940671,0.715323787,3.478087217,3,4.506626405,8,4679,0.0194486,0.654199615,,,,,,,,,,,,,,,,,,,,,,,,,,,69.61377955,2.08676444,71.70054399,,195636,0.606516291,,,68,,,0.993403256,,,70,0,2685729792,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ml__svm__2_4ghz__cross_session__ebl-session__s42__a7141d,2026-09-04T12:48:36.048603+00:00,ml,svm,2_4ghz,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",8906,4682,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rbf,10,0.0001,2.11.0+cu128,0.067919692,,,0.045828063,0.639256728,4.064219113,3.605551275,4.803418795,7.280109889,4682,0.019436138,0.65399402,,,,,,,,,,,,,,,,,,,,,,,,,,,32.65057746,94.4388675,127.1597749,SVC,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn_room__fusion__cross_session__ebl-session__s43__08cc8f,2026-09-04T12:49:04.040079+00:00,dl,cnn_room,fusion,cross_session,43,empty_baseline,session,60,0,FALSE,"01,02",8889,4679,52,,,,,,CNN_room,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.132079504,,,0.119498191,0.717674717,3.412255191,3,4.410662439,7.615773106,4679,0.0194486,0.654199615,,,,,,,,,,,,,,,,,,,,,,,,,,,68.07043151,2.100221507,70.17065302,,195636,0.630325815,,,64,,,0.971312378,,,70,0,2685729792,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ml__rf__5ghz__cross_session__ebl-session__s42__694ab2,2026-09-04T12:49:30.829505+00:00,ml,rf,5ghz,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",9695,4783,52,800,sqrt,40,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11.0+cu128,0.130880201,,,0.099662503,0.67342672,3.734598291,3.605551275,4.566259005,7.211102551,4783,0.019443864,0.656073594,,,,,,,,,,,,,,,,,,,,,,,,,,,53.74603547,0.281285003,54.10018112,RandomForestClassifier,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ml__knn__5ghz__cross_session__ebl-session__b7a0d3,2026-09-04T12:49:38.337240+00:00,ml,knn,5ghz,cross_session,,empty_baseline,session,60,0,FALSE,"01,02",9695,4783,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,distance,manhattan,,,,2.11.0+cu128,0.045578089,,,0.0405415,0.355007318,5.213761131,4.472135955,6.216391973,10.44030651,4783,0.019443864,0.656073594,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403610621,6.280228032,6.769712759,KNeighborsClassifier,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn_room__fusion__cross_session__ebl-session__s44__5ccebc,2026-09-04T12:50:16.871677+00:00,dl,cnn_room,fusion,cross_session,44,empty_baseline,session,60,0,FALSE,"01,02",8889,4679,52,,,,,,CNN_room,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.141696944,,,0.134308974,0.737337038,3.452435845,3,4.560954745,8.062257748,4679,0.0194486,0.654199615,,,,,,,,,,,,,,,,,,,,,,,,,,,69.52118324,1.665434406,71.18661765,,195636,0.612781955,,,63,,,0.992248347,,,70,0,2685729792,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ml__svm__5ghz__cross_session__ebl-session__s42__468919,2026-09-04T12:52:24.816371+00:00,ml,svm,5ghz,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",9695,4783,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rbf,100,0.0001,2.11.0+cu128,0.098682835,,,0.086501926,0.658791553,3.912848213,3.16227766,4.901987292,8.246211251,4783,0.019443864,0.656073594,,,,,,,,,,,,,,,,,,,,,,,,,,,50.72012989,114.9957472,165.7869912,SVC,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ml__rf__fusion__cross_session__ebl-session__s42__1804dc,2026-09-04T12:52:37.086436+00:00,ml,rf,fusion,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",8889,4679,52,800,log2,40,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,,,,,,2.11.0+cu128,0.159222056,,,0.11819766,0.644154734,3.789831838,3.16227766,4.797769661,8.062257748,4679,0.0194486,0.654199615,,,,,,,,,,,,,,,,,,,,,,,,,,,10.93890541,0.265224827,11.27413916,RandomForestClassifier,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ml__knn__fusion__cross_session__ebl-session__c2bed6,2026-09-04T12:52:48.771478+00:00,ml,knn,fusion,cross_session,,empty_baseline,session,60,0,FALSE,"01,02",8889,4679,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,distance,manhattan,,,,2.11.0+cu128,0.076298354,,,0.075937994,0.438768968,4.86217934,4.123105626,5.943975094,10.04987562,4679,0.0194486,0.654199615,,,,,,,,,,,,,,,,,,,,,,,,,,,0.725620312,9.883228876,10.69136767,KNeighborsClassifier,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
ml__svm__fusion__cross_session__ebl-session__s42__a7141d,2026-09-04T13:03:00.300707+00:00,ml,svm,fusion,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",8889,4679,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rbf,10,0.0001,2.11.0+cu128,0.1115623,,,0.089510262,0.636460782,3.945740739,3.605551275,4.843258094,7.615773106,4679,0.0194486,0.654199615,,,,,,,,,,,,,,,,,,,,,,,,,,,190.6297665,419.6731674,610.4021208,SVC,,,,,,,,,,,,,,cpu,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn__2_4ghz__cross_session__ebl-session__s42__9b1404,2026-09-04T13:13:03.940818+00:00,dl,cnn,2_4ghz,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",8906,4682,52,,,,,,CNN,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.094190517,,,0.071392118,0.683895771,4.019470811,3.16227766,5.015056357,8.544003745,4682,0.019436138,0.65399402,,,,,,,,,,,,,,,,,,,,,,,,,,,26.42262502,1.452637455,27.87526248,,76020,0.548185232,,,65,,,0.376898354,,,70,0,514714624,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn__2_4ghz__cross_session__ebl-session__s43__a89b5d,2026-09-04T13:13:33.097406+00:00,dl,cnn,2_4ghz,cross_session,43,empty_baseline,session,60,0,FALSE,"01,02",8906,4682,52,,,,,,CNN,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.089064502,,,0.064492206,0.655061939,4.123061546,3.605551275,5.076623478,8.246211251,4682,0.019436138,0.65399402,,,,,,,,,,,,,,,,,,,,,,,,,,,25.61507173,1.802645208,27.41771694,,76020,0.535669587,,,69,,,0.365332777,,,70,0,514714624,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn__2_4ghz__cross_session__ebl-session__s44__7b9bf2,2026-09-04T13:14:02.989081+00:00,dl,cnn,2_4ghz,cross_session,44,empty_baseline,session,60,0,FALSE,"01,02",8906,4682,52,,,,,,CNN,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.092909013,,,0.072238636,0.699273815,4.058247473,3.16227766,5.005144726,8.246211251,4682,0.019436138,0.65399402,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39131408,1.771594547,28.16290863,,76020,0.564455569,,,70,,,0.376477412,,,70,0,514714624,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn__5ghz__cross_session__ebl-session__s42__9b1404,2026-09-04T13:14:38.999316+00:00,dl,cnn,5ghz,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",9695,4783,52,,,,,,CNN,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.090738031,,,0.086131077,0.688061886,3.935641876,3.605551275,4.89276604,8.062257748,4783,0.019443864,0.656073594,,,,,,,,,,,,,,,,,,,,,,,,,,,32.19665083,1.82842992,34.02508075,,76308,0.431392931,,,70,,,0.459331366,,,70,0,579083264,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn__5ghz__cross_session__ebl-session__s43__a89b5d,2026-09-04T13:15:13.948282+00:00,dl,cnn,5ghz,cross_session,43,empty_baseline,session,60,0,FALSE,"01,02",9695,4783,52,,,,,,CNN,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.079657119,,,0.068150791,0.677608196,3.851531521,3.605551275,4.753906148,7.615773106,4783,0.019443864,0.656073594,,,,,,,,,,,,,,,,,,,,,,,,,,,31.71235588,1.486492979,33.19884886,,76308,0.41995842,,,63,,,0.45257186,,,70,0,579083264,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn__5ghz__cross_session__ebl-session__s44__7b9bf2,2026-09-04T13:15:49.457103+00:00,dl,cnn,5ghz,cross_session,44,empty_baseline,session,60,0,FALSE,"01,02",9695,4783,52,,,,,,CNN,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.069621576,,,0.065273973,0.678653565,4.102433182,3.16227766,5.083640794,8.590660963,4783,0.019443864,0.656073594,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1984368,1.517972204,33.716409,,76308,0.412681913,,,60,,,0.459449451,,,70,0,579083264,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
dl__cnn__fusion__cross_session__ebl-session__s42__9b1404,2026-09-04T13:16:41.103604+00:00,dl,cnn,fusion,cross_session,42,empty_baseline,session,60,0,FALSE,"01,02",8889,4679,52,,,,,,CNN,32,64,128,256,0.3,256,8,1,1,4,64,0,0,0,3600,70,15,0.001,0.0001,42,0.3,0.15,10,"{""2.4 GHz"": [""esp_01"", ""esp_02"", ""esp_03"", ""esp_04"", ""esp_05"", ""esp_07"", ""esp_08"", ""esp_09"", ""esp_10""], ""5 GHz"": [""esp_11"", ""esp_12"", ""esp_13"", ""esp_14"", ""esp_15"", ""esp_16"", ""esp_17"", ""esp_18"", ""esp_19"", ""esp_20""]}",,,,,,,,2.11.0+cu128,0.125026715,,,0.105408438,0.705278906,3.692174996,3,4.713120745,8.062257748,4679,0.0194486,0.654199615,,,,,,,,,,,,,,,,,,,,,,,,,,,47.19582073,2.21001656,49.40583729,,138708,0.642857143,,,51,,,0.714262989,,,66,1,978418688,cuda,1.9.0,2.5.1,,,,,,,,,,,,,,,,,,,,,,,,,
