class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,10.0,log2,1,2,800,0.6483790523690773,3.191525341011584,0.16096415708307177
balanced,10.0,log2,1,5,200,0.6184538653366584,0.8117161259287968,0.05623713007662445
balanced,10.0,log2,1,5,300,0.6483790523690773,1.1733201870229095,0.0760619459906593
balanced,10.0,log2,1,5,500,0.6433915211970075,1.96512290998362,0.10860355000477284
balanced,10.0,log2,1,5,800,0.6583541147132169,3.093041858053766,0.16087182192131877
balanced,10.0,log2,1,10,200,0.6084788029925187,0.8329129129415378,0.05633001902606338
balanced,10.0,log2,1,10,300,0.6458852867830424,1.1817993879085407,0.07801343000028282
balanced,10.0,log2,1,10,500,0.6384039900249376,1.9487580609275028,0.11006397905293852
balanced,10.0,log2,1,10,800,0.6458852867830424,3.0431350599974394,0.1607178080594167
balanced,10.0,log2,2,2,200,0.6209476309226932,0.7851704339263961,0.056923632975667715
balanced,10.0,log2,2,2,300,0.6433915211970075,1.2050254750065506,0.07930561399552971
balanced,10.0,log2,2,2,500,0.6408977556109726,1.935179863939993,0.1101109660230577
balanced,10.0,log2,2,2,800,0.6533665835411472,3.048970183939673,0.16127251100260764
balanced,10.0,log2,2,5,200,0.6259351620947631,0.7850845550419763,0.056691081961616874
balanced,10.0,log2,2,5,300,0.6508728179551122,1.1985467879567295,0.07821218203753233
balanced,10.0,log2,2,5,500,0.6608478802992519,1.9205345719819888,0.0995006300508976
balanced,10.0,log2,2,5,800,0.6408977556109726,3.1382310839835554,0.1611479320563376
balanced,10.0,log2,2,10,200,0.6034912718204489,0.7998697810107842,0.05739601003006101
balanced,10.0,log2,2,10,300,0.6259351620947631,1.1703007140895352,0.07733007799834013
balanced,10.0,log2,2,10,500,0.6433915211970075,1.9444548269966617,0.10847951692994684
balanced,10.0,log2,2,10,800,0.6384039900249376,3.035431061987765,0.16123110195621848
balanced,10.0,log2,4,2,200,0.6384039900249376,0.8221855859737843,0.057114833034574986
balanced,10.0,log2,4,2,300,0.6384039900249376,1.1678532799705863,0.07725603296421468
balanced,10.0,log2,4,2,500,0.6483790523690773,1.9240815640660003,0.10888936195988208
balanced,10.0,log2,4,2,800,0.6658354114713217,3.0444046759512275,0.16082790400832891
balanced,10.0,log2,4,5,200,0.6384039900249376,0.7787326939869672,0.05639716808218509
balanced,10.0,log2,4,5,300,0.6384039900249376,1.167639116058126,0.07690690993331373
balanced,10.0,log2,4,5,500,0.6483790523690773,1.943922603968531,0.10943003301508725
balanced,10.0,log2,4,5,800,0.6658354114713217,3.0424013560405,0.16068008495494723
balanced,10.0,log2,4,10,200,0.6234413965087282,0.802103751921095,0.05811753205489367
balanced,10.0,log2,4,10,300,0.6309226932668329,1.1583703579381108,0.06807147606741637
balanced,10.0,log2,4,10,500,0.6508728179551122,1.939045027946122,0.10969063790980726
balanced,10.0,log2,4,10,800,0.6583541147132169,3.061960521969013,0.15160492493305355
balanced,20.0,sqrt,1,2,200,0.7182044887780549,5.502111842972226,0.05693853693082929
balanced,20.0,sqrt,1,2,300,0.7206982543640897,8.196124851005152,0.07767888798844069
balanced,20.0,sqrt,1,2,500,0.7256857855361596,13.694400587002747,0.10270392498932779
balanced,20.0,sqrt,1,2,800,0.7281795511221946,21.685036696027964,0.162811620044522
balanced,20.0,sqrt,1,5,200,0.7032418952618454,5.445497139939107,0.057582966051995754
balanced,20.0,sqrt,1,5,300,0.7057356608478803,8.164572031004354,0.07810488995164633
balanced,20.0,sqrt,1,5,500,0.7057356608478803,13.378911689971574,0.11314187094103545
balanced,20.0,sqrt,1,5,800,0.7182044887780549,21.496839270112105,0.16386009997222573
balanced,20.0,sqrt,1,10,200,0.6957605985037406,5.420780580956489,0.055389733985066414
balanced,20.0,sqrt,1,10,300,0.7082294264339152,7.885817726026289,0.06802405195776373
balanced,20.0,sqrt,1,10,500,0.6982543640897756,13.394245363073424,0.10948861599899828
balanced,20.0,sqrt,1,10,800,0.71571072319202,20.952771845972165,0.160997286089696
balanced,20.0,sqrt,2,2,200,0.7057356608478803,5.470736943068914,0.05653624201659113
balanced,20.0,sqrt,2,2,300,0.7107231920199502,8.041154718957841,0.07827406201977283
balanced,20.0,sqrt,2,2,500,0.71571072319202,13.20358843903523,0.11064394807908684
balanced,20.0,sqrt,2,2,800,0.7231920199501247,21.28811382490676,0.16052195592783391
balanced,20.0,sqrt,2,5,200,0.7057356608478803,5.369176184991375,0.05633788404520601
balanced,20.0,sqrt,2,5,300,0.7182044887780549,7.983470980077982,0.07958005904220045
balanced,20.0,sqrt,2,5,500,0.7182044887780549,13.333553301054053,0.1103280169190839
balanced,20.0,sqrt,2,5,800,0.7331670822942643,21.017210154910572,0.1624537669122219
balanced,20.0,sqrt,2,10,200,0.685785536159601,5.281357018975541,0.06010589294601232
balanced,20.0,sqrt,2,10,300,0.7057356608478803,7.804309297003783,0.07695790496654809
balanced,20.0,sqrt,2,10,500,0.7032418952618454,13.143814885988832,0.11056803597602993
balanced,20.0,sqrt,2,10,800,0.713216957605985,20.856543240020983,0.16274220903869718
balanced,20.0,sqrt,4,2,200,0.7032418952618454,5.094360857037827,0.06105690589174628
balanced,20.0,sqrt,4,2,300,0.71571072319202,7.6788005320122465,0.07926157501060516
balanced,20.0,sqrt,4,2,500,0.7356608478802993,12.903193617006764,0.11027337692212313
balanced,20.0,sqrt,4,2,800,0.7331670822942643,20.190214293077588,0.1523118109907955
balanced,20.0,sqrt,4,5,200,0.7032418952618454,5.421168274013326,0.0573439298896119
balanced,20.0,sqrt,4,5,300,0.71571072319202,7.6224498089868575,0.07914595701731741
balanced,20.0,sqrt,4,5,500,0.7356608478802993,12.807271392084658,0.11008435394614935
balanced,20.0,sqrt,4,5,800,0.7331670822942643,20.10850208706688,0.16279265203047544
balanced,20.0,sqrt,4,10,200,0.6932668329177057,5.075800025020726,0.05800679000094533
balanced,20.0,sqrt,4,10,300,0.7057356608478803,7.578670541057363,0.07978025893680751
balanced,20.0,sqrt,4,10,500,0.713216957605985,12.636365432990715,0.09934841003268957
balanced,20.0,sqrt,4,10,800,0.7057356608478803,20.103258557035588,0.16185276804026216
balanced,20.0,log2,1,2,200,0.6982543640897756,1.1543155550025403,0.057301015011034906
balanced,20.0,log2,1,2,300,0.7082294264339152,1.6894298989791423,0.06890405202284455
balanced,20.0,log2,1,2,500,0.7206982543640897,2.7897992010693997,0.08991189603693783
balanced,20.0,log2,1,2,800,0.7206982543640897,4.500071845948696,0.15139933908358216
balanced,20.0,log2,1,5,200,0.6957605985037406,1.141904930002056,0.04594839608762413
balanced,20.0,log2,1,5,300,0.71571072319202,1.6475635599344969,0.07703509496059269
balanced,20.0,log2,1,5,500,0.713216957605985,2.714861380052753,0.08968276891391724
balanced,20.0,log2,1,5,800,0.7182044887780549,4.397167412098497,0.16206528805196285
balanced,20.0,log2,1,10,200,0.7007481296758105,1.0816609179601073,0.058961602044291794
