class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,10.0,log2,2,10,300,0.7217125382262997,1.1036232189508155,0.09055636206176132
balanced,10.0,log2,2,10,500,0.72782874617737,1.8447988349944353,0.11990707297809422
balanced,10.0,log2,2,10,800,0.7400611620795107,2.928101743920706,0.17306581395678222
balanced,10.0,log2,4,2,200,0.7033639143730887,0.7577101560309529,0.06765996001195163
balanced,10.0,log2,4,2,300,0.7125382262996942,1.1187384569784626,0.0892705440055579
balanced,10.0,log2,4,2,500,0.72782874617737,1.8934255000203848,0.10856098297517747
balanced,10.0,log2,4,2,800,0.7339449541284404,2.9088829099200666,0.16190118598751724
balanced,10.0,log2,4,5,200,0.7033639143730887,0.7803551830584183,0.06778852001298219
balanced,10.0,log2,4,5,300,0.7125382262996942,1.117354821995832,0.08898061409126967
balanced,10.0,log2,4,5,500,0.72782874617737,1.8240221480373293,0.11131409904919565
balanced,10.0,log2,4,5,800,0.7339449541284404,2.8746104679303244,0.16496550710871816
balanced,10.0,log2,4,10,200,0.6758409785932722,0.7872123039560392,0.0674769920296967
balanced,10.0,log2,4,10,300,0.7155963302752294,1.0971599640324712,0.0780911659821868
balanced,10.0,log2,4,10,500,0.746177370030581,1.8305983820464462,0.120857301983051
balanced,10.0,log2,4,10,800,0.746177370030581,2.8701762560522184,0.16323418694082648
balanced,20.0,sqrt,1,2,200,0.7828746177370031,6.613867859006859,0.05503902002237737
balanced,20.0,sqrt,1,2,300,0.7951070336391437,9.91764698701445,0.08614402811508626
balanced,20.0,sqrt,1,2,500,0.7767584097859327,16.274413699982688,0.12140243197791278
balanced,20.0,sqrt,1,2,800,0.7920489296636085,27.056251234957017,0.17237610602751374
balanced,20.0,sqrt,1,5,200,0.7614678899082569,6.494691792991944,0.06549965206068009
balanced,20.0,sqrt,1,5,300,0.7859327217125383,9.808205444016494,0.07734453794546425
balanced,20.0,sqrt,1,5,500,0.8012232415902141,16.13395381497685,0.12965896003879607
balanced,20.0,sqrt,1,5,800,0.8103975535168195,26.258048014016822,0.16764992999378592
balanced,20.0,sqrt,1,10,200,0.7767584097859327,6.406067454023287,0.05590647296048701
balanced,20.0,sqrt,1,10,300,0.7920489296636085,9.55318800394889,0.09012234094552696
balanced,20.0,sqrt,1,10,500,0.7859327217125383,15.841462307958864,0.11737590201664716
balanced,20.0,sqrt,1,10,800,0.7889908256880734,25.241734108072706,0.1698278250405565
balanced,20.0,sqrt,2,2,200,0.764525993883792,6.409415730973706,0.06568448292091489
