class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,validation_position_accuracy,fit_seconds,predict_seconds
balanced,,log2,4,10,500,0.7333333333333333,2.872157842037268,0.10579386097379029
balanced,,log2,4,10,800,0.7363636363636363,4.604448241996579,0.14675706892739981
balanced,10.0,sqrt,1,2,200,0.4727272727272727,2.8804209660738707,0.05483618890866637
balanced,10.0,sqrt,1,2,300,0.47878787878787876,4.252586364978924,0.06673710001632571
balanced,10.0,sqrt,1,2,500,0.49696969696969695,7.043587569962256,0.09614261297974735
balanced,10.0,sqrt,1,2,800,0.509090909090909,11.312313724076375,0.1587778580142185
balanced,10.0,sqrt,1,5,200,0.4727272727272727,2.865803887951188,0.05531345400959253
balanced,10.0,sqrt,1,5,300,0.49393939393939396,4.263509934069589,0.07641753694042563
balanced,10.0,sqrt,1,5,500,0.49393939393939396,7.189788648043759,0.10836954601109028
balanced,10.0,sqrt,1,5,800,0.5121212121212121,11.274904038989916,0.1571843980345875
balanced,10.0,sqrt,1,10,200,0.4727272727272727,2.8418980300193653,0.05440458096563816
balanced,10.0,sqrt,1,10,300,0.49393939393939396,4.261344764963724,0.07596524595282972
balanced,10.0,sqrt,1,10,500,0.509090909090909,7.030460876994766,0.10844706499483436
balanced,10.0,sqrt,1,10,800,0.5181818181818182,11.224682488013059,0.15749857400078326
balanced,10.0,sqrt,2,2,200,0.4727272727272727,2.853785603074357,0.05528149800375104
balanced,10.0,sqrt,2,2,300,0.49393939393939396,4.234343141899444,0.0750189539976418
balanced,10.0,sqrt,2,2,500,0.5,7.0613222169922665,0.10926693491637707
balanced,10.0,sqrt,2,2,800,0.5,11.19807419902645,0.148814991931431
balanced,10.0,sqrt,2,5,200,0.4575757575757576,2.828920593019575,0.05421535891946405
balanced,10.0,sqrt,2,5,300,0.44242424242424244,4.23818141000811,0.07489468902349472
balanced,10.0,sqrt,2,5,500,0.5060606060606061,6.9973287580069155,0.10833378497045487
balanced,10.0,sqrt,2,5,800,0.509090909090909,11.158619164954871,0.16283234802540392
balanced,10.0,sqrt,2,10,200,0.4909090909090909,2.8187391839455813,0.05577445193193853
balanced,10.0,sqrt,2,10,300,0.48787878787878786,4.225793892983347,0.076200794079341
balanced,10.0,sqrt,2,10,500,0.5060606060606061,7.023733242996968,0.10680677194613963
balanced,10.0,sqrt,2,10,800,0.5121212121212121,11.273218875052407,0.15925711893942207
balanced,10.0,sqrt,4,2,200,0.4909090909090909,2.844380090944469,0.05513728398364037
balanced,10.0,sqrt,4,2,300,0.49393939393939396,4.215019181952812,0.07491304096765816
balanced,10.0,sqrt,4,2,500,0.4909090909090909,6.977413579938002,0.10892437095753849
balanced,10.0,sqrt,4,2,800,0.509090909090909,11.058606436941773,0.15920299699064344
balanced,10.0,sqrt,4,5,200,0.4909090909090909,2.831903354031965,0.0549605869455263
balanced,10.0,sqrt,4,5,300,0.49393939393939396,4.163598996005021,0.06625352299306542
balanced,10.0,sqrt,4,5,500,0.4909090909090909,6.963977187057026,0.10624895500950515
balanced,10.0,sqrt,4,5,800,0.509090909090909,11.096186396083795,0.15910129598341882
balanced,10.0,sqrt,4,10,200,0.47878787878787876,2.852950308006257,0.05636710301041603
balanced,10.0,sqrt,4,10,300,0.49696969696969695,4.193902514060028,0.07682662096340209
balanced,10.0,sqrt,4,10,500,0.49393939393939396,6.931965666008182,0.10574918298516423
balanced,10.0,sqrt,4,10,800,0.503030303030303,11.14532435592264,0.15854584705084562
balanced,10.0,log2,1,2,200,0.5727272727272728,0.7098602319601923,0.055981533019803464
balanced,10.0,log2,1,2,300,0.6,1.0623634619405493,0.06575425993651152
balanced,10.0,log2,1,2,500,0.6363636363636364,1.7788849300704896,0.0894291780423373
balanced,10.0,log2,1,2,800,0.6454545454545455,2.830797938979231,0.14004328998271376
balanced,10.0,log2,1,5,200,0.5909090909090909,0.7239810199243948,0.05383981403429061
balanced,10.0,log2,1,5,300,0.6060606060606061,1.0950620159273967,0.07540842704474926
balanced,10.0,log2,1,5,500,0.6272727272727273,1.8431643389631063,0.09647064504679292
balanced,10.0,log2,1,5,800,0.6424242424242425,2.764769997098483,0.16091510700061917
balanced,10.0,log2,1,10,200,0.5818181818181818,0.7257628589868546,0.04387560999020934
balanced,10.0,log2,1,10,300,0.6060606060606061,1.058120313915424,0.0652238269103691
balanced,10.0,log2,1,10,500,0.6090909090909091,1.7692424730630592,0.10744083393365145
balanced,10.0,log2,1,10,800,0.6181818181818182,2.823209396097809,0.14924185001291335
balanced,10.0,log2,2,2,200,0.5606060606060606,0.7266516400268301,0.055736711947247386
balanced,10.0,log2,2,2,300,0.6,1.0631197190377861,0.0659262640401721
balanced,10.0,log2,2,2,500,0.6303030303030303,1.7526228949427605,0.09631694201380014
balanced,10.0,log2,2,2,800,0.6484848484848484,2.825065330020152,0.15761340502649546
balanced,10.0,log2,2,5,200,0.5969696969696969,0.7400521710515022,0.05427190207410604
balanced,10.0,log2,2,5,300,0.6303030303030303,1.1180363909807056,0.0644191219471395
balanced,10.0,log2,2,5,500,0.6151515151515151,1.744301798986271,0.09578034200239927
balanced,10.0,log2,2,5,800,0.6484848484848484,2.8432336470577866,0.15085878502577543
balanced,10.0,log2,2,10,200,0.5848484848484848,0.7133251819759607,0.045277519966475666
